language,model,test_id,expected_text,ASR_text,WER_percent,generation_time,audio_duration,RTF,peak,clipping,clipping_samples,speaker_similarity,manual_naturalness,manual_pronunciation,status,output_path,notes
Hindi,MMS-TTS,hi_clone_01_greeting,"नमस्ते, आपका स्वागत है। मैं आज आपकी आवाज़ सहायक हूँ।","नमस्ते आख का स्वाखत है, मैं आज आप की अवाज सहाएक हूँ",70,2.306,4.64,0.497,0.838,False,0,,,,completed,outputs\mms\hindi\final\hi_clone_01_greeting.wav,"source=results\mms_hindi_evaluation.csv; fixed-speaker baseline, not voice cloning; speaker similarity not applicable; manual MOS pending"
Hindi,MMS-TTS,hi_clone_02_technology,कृत्रिम बुद्धिमत्ता ग्राहकों को तेज़ और स्पष्ट उत्तर देने में मदद करती है।,खिरित्रीं भुदीमत्ता गहाकों को तेज और स्पाष्ट कुतर देने में माडद करती है,38.462,2.165,5.312,0.408,0.9,False,0,,,,completed,outputs\mms\hindi\final\hi_clone_02_technology.wav,"source=results\mms_hindi_evaluation.csv; fixed-speaker baseline, not voice cloning; speaker similarity not applicable; manual MOS pending"
Hindi,MMS-TTS,hi_clone_03_conversational,"ज़रूर, मैं इसमें मदद कर सकता हूँ। कृपया अपनी ज़रूरत बताइए।","जरूर मैं इस में मदद कर सक्ता हूँ, क्रपया अपनी जरूनत बताये",45.455,2.203,5.12,0.43,0.931,False,0,,,,completed,outputs\mms\hindi\final\hi_clone_03_conversational.wav,"source=results\mms_hindi_evaluation.csv; fixed-speaker baseline, not voice cloning; speaker similarity not applicable; manual MOS pending"
Hindi,MMS-TTS,hi_clone_04_numbers,"आपका पुष्टिकरण नंबर दो शून्य छह पांच है, और बैठक साढ़े तीन बजे शुरू होगी।","अपका पुष्टी करन नान्वबद दो शुने चा पाज है, और बैक यक साए तीन बजे शुरू होगी.",66.667,2.477,6.336,0.391,0.944,False,0,,,,completed,outputs\mms\hindi\final\hi_clone_04_numbers.wav,"source=results\mms_hindi_evaluation.csv; fixed-speaker baseline, not voice cloning; speaker similarity not applicable; manual MOS pending"
Hindi,MMS-TTS,hi_clone_05_expressive,यह बहुत अच्छी खबर है। मुझे खुशी है कि सब ठीक रहा।,"ये बहुत अची खवर है, मुझे खुशी है कि सब थी का",41.667,1.771,4.624,0.383,0.903,False,0,,,,completed,outputs\mms\hindi\final\hi_clone_05_expressive.wav,"source=results\mms_hindi_evaluation.csv; fixed-speaker baseline, not voice cloning; speaker similarity not applicable; manual MOS pending"
Hindi,Chatterbox,hi_clone_01_greeting,"नमस्ते, आपका स्वागत है। मैं आज आपकी आवाज़ सहायक हूँ।","नमस्ते, आपका स्वागत है, मैं आज आपकी अवास सहाया कूँ",30,178.035,6.16,28.902,1,True,27,0.738,,,completed,outputs\chatterbox\hindi\final\hi_clone_01_greeting.wav,source=results\chatterbox_hindi_evaluation.csv; manual MOS pending
Hindi,Chatterbox,hi_clone_02_technology,कृत्रिम बुद्धिमत्ता ग्राहकों को तेज़ और स्पष्ट उत्तर देने में मदद करती है।,क्रित्रिन बुद्दी मत्ता ग्राहको को तेज और स्पष्ट उत्टर देने में मदध करती है,38.462,59.241,6.36,9.315,0.964,False,0,0.738,,,completed,outputs\chatterbox\hindi\final\hi_clone_02_technology.wav,source=results\chatterbox_hindi_evaluation.csv; manual MOS pending
Hindi,Chatterbox,hi_clone_03_conversational,"ज़रूर, मैं इसमें मदद कर सकता हूँ। कृपया अपनी ज़रूरत बताइए।",मैं इस में मदद कर सकता हूं क्रिपिया अपनी ज़रूरत बताएए,45.455,46.099,4.64,9.935,0.852,False,0,0.738,,,completed,outputs\chatterbox\hindi\final\hi_clone_03_conversational.wav,source=results\chatterbox_hindi_evaluation.csv; manual MOS pending
Hindi,Chatterbox,hi_clone_04_numbers,"आपका पुष्टिकरण नंबर दो शून्य छह पांच है, और बैठक साढ़े तीन बजे शुरू होगी।",अपका पुष्टिकरर नमबर दो शूँन्या चै पाई चै और वेट्ख सार्डे तीन बजी शुरू होगी,53.333,215.873,5.56,38.826,1,True,3,0.738,,,completed,outputs\chatterbox\hindi\final\hi_clone_04_numbers.wav,source=results\chatterbox_hindi_evaluation.csv; manual MOS pending
Hindi,Chatterbox,hi_clone_05_expressive,यह बहुत अच्छी खबर है। मुझे खुशी है कि सब ठीक रहा।,"यहाँ बहुत अच्छी कबर है, मुझे खुशी है कि सब छीक रहा.",16.667,45.33,5.6,8.095,0.803,False,0,0.738,,,completed,outputs\chatterbox\hindi\final\hi_clone_05_expressive.wav,source=results\chatterbox_hindi_evaluation.csv; manual MOS pending
Hindi,IndicF5,hi_clone_01_greeting,"नमस्ते, आपका स्वागत है। मैं आज आपकी आवाज़ सहायक हूँ।",सस्वाशल्निया फ़ष्चन्से सरे एवशूँजन नमस्ते आपका स्वागत है मैं आज आपकी आवाज सायग हूँ,50,297.668,7.125,41.778,0.95,False,0,,,,completed,,source=results\indicf5_hindi_initial_test.csv; initial one-sample test only; do not compare as a five-sample benchmark; manual MOS pending
