model,model_version,test_id,category,expected_text,output_path,reference_strategy,reference_paths,parameters,seed,generation_time,rtf,status,error,configuration_id,asr_text,normalized_expected,normalized_predicted,english_probability,wer,wer_percentage,duration,rms,peak,clipping_count,silence_ratio,sample_rate,similarity_score_1_to_5,naturalness_score_1_to_5,pronunciation_score_1_to_5,metallic,missing_words,repeated_words,accepted,reviewer_notes
MeloTTS,,en_01_greeting,greeting,"Hello, welcome to our voice assistant. How can I help you today?",E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\english\melotts\final\en_01_greeting.wav,english_reference_or_zero_shot,,,,13.11039,2.820924,success,,,"Hello, welcome to our voice assistant. How can I help you today?",hello welcome to our voice assistant how can i help you today,hello welcome to our voice assistant how can i help you today,1.0,0.0,0.0,4.647551020408163,0.0544086588207278,0.360687255859375,0,0.2438755446264338,44100,,,,,,,,
MeloTTS,,en_02_support,support,I can help you check your order status and answer your questions.,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\english\melotts\final\en_02_support.wav,english_reference_or_zero_shot,,,,3.792927,0.87514,success,,,I can help you check your order status and answer your questions.,i can help you check your order status and answer your questions,i can help you check your order status and answer your questions,1.0,0.0,0.0,4.334081632653061,0.0452859039091487,0.32684326171875,0,0.2215211397299263,44100,,,,,,,,
MeloTTS,,en_03_conversation,conversation,"Sure, I can help with that. Please tell me what you need.",E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\english\melotts\final\en_03_conversation.wav,english_reference_or_zero_shot,,,,4.562196,1.151325,success,,,"Sure, it can help with that. Please tell me what you need.",sure i can help with that please tell me what you need,sure it can help with that please tell me what you need,1.0,0.083333,8.33,3.962562358276644,0.0515699354005999,0.330078125,0,0.2915381490022832,44100,,,,,,,,
MeloTTS,,en_04_numbers,numbers,"Your confirmation number is two zero six five, and the meeting starts at three thirty.",E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\english\melotts\final\en_04_numbers.wav,english_reference_or_zero_shot,,,,6.635699,1.142402,success,,,Your confirmation number is 2065 and the meeting starts at 330,your confirmation number is two zero six five and the meeting starts at three thirty,your confirmation number is 2065 and the meeting starts at 330,1.0,0.4,40.0,5.808548752834467,0.0629526894180635,0.477630615234375,0,0.1835436860987597,44100,,,,,,,,
MeloTTS,,en_05_expressive,expressive,That is great news. I am happy everything worked out well.,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\english\melotts\final\en_05_expressive.wav,english_reference_or_zero_shot,,,,4.639613,1.150634,success,,,That is great news. I am happy everything worked out well.,that is great news i am happy everything worked out well,that is great news i am happy everything worked out well,1.0,0.0,0.0,4.032222222222222,0.0458704984666953,0.273193359375,0,0.2224371699630527,44100,,,,,,,,
MMS-TTS,,en_clone_01_greeting,greeting,Hello and welcome. I am your voice assistant today.,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\english\mms\final\en_clone_01_greeting.wav,english_reference_or_zero_shot,,,,2.2170287999906577,0.5972599137905866,success,,,Hello and welcome. I am your voice assistant today,,,1.0,0.0,0.0,3.712,,0.781707763671875,0,0.2734038254310345,,,,,,,,,
MMS-TTS,,en_clone_02_technology,technology,Artificial intelligence helps teams answer customers faster and more clearly.,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\english\mms\final\en_clone_02_technology.wav,english_reference_or_zero_shot,,,,2.3904058000043733,0.4280812679090927,success,,,Artificial intelligence helps. Teams answer customers faster and more clearly.,,,1.0,0.0,0.0,5.584,,0.946746826171875,0,0.1497022743553008,,,,,,,,,
MMS-TTS,,en_clone_03_conversational,conversation,"Sure, I can help with that. Please tell me what you need.",E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\english\mms\final\en_clone_03_conversational.wav,english_reference_or_zero_shot,,,,1.5266222999925958,0.4543518749977964,success,,,"Sure, I can help with that. Please tell me what you need.",,,1.0,0.0,0.0,3.36,,0.906158447265625,0,0.1809151785714285,,,,,,,,,
MMS-TTS,,en_clone_04_numbers,numbers,"Your confirmation number is two zero six five, and the meeting starts at three thirty.",E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\english\mms\final\en_clone_04_numbers.wav,english_reference_or_zero_shot,,,,2.1903771000070265,0.3813330605861815,success,,,Your confirmation number is 2065 and the meeting starts at 330,,,1.0,0.4,40.0,5.744,,0.93609619140625,0,0.1464354108635097,,,,,,,,,
MMS-TTS,,en_clone_05_expressive,expressive,That is wonderful news. I am really glad everything worked out.,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\english\mms\final\en_clone_05_expressive.wav,english_reference_or_zero_shot,,,,1.914463599998271,0.4111820446731682,success,,,That is wonderful news. I am really glad everything worked out.,,,1.0,0.0,0.0,4.656,,0.847198486328125,0,0.1183016537800687,,,,,,,,,
