language,model,generated_file,status,error,similarity_to_short,similarity_to_standard,similarity_to_long,average_similarity,maximum_similarity,passes_0_75,similarity_to_reference
Arabic,XTTS-v2,outputs/xtts/arabic/ar_clone_01_greeting.wav,success,,0.639979,0.641144,0.591361,0.624161,0.641144,False,
Arabic,XTTS-v2,outputs/xtts/arabic/ar_clone_02_technology.wav,success,,0.656687,0.641022,0.575429,0.624379,0.656687,False,
Arabic,XTTS-v2,outputs/xtts/arabic/ar_clone_03_conversational.wav,success,,0.648966,0.644506,0.539719,0.611064,0.648966,False,
Arabic,XTTS-v2,outputs/xtts/arabic/ar_clone_04_numbers.wav,success,,0.639607,0.62732,0.580569,0.615832,0.639607,False,
Arabic,XTTS-v2,outputs/xtts/arabic/ar_clone_05_expressive.wav,success,,0.646353,0.611733,0.591174,0.61642,0.646353,False,
Arabic,XTTS-v2,outputs/xtts/arabic/parameter_tests/ar_greeting_config_A.wav,success,,0.630203,0.629628,0.565391,0.608408,0.630203,False,
Arabic,XTTS-v2,outputs/xtts/arabic/parameter_tests/ar_greeting_config_B.wav,success,,0.587951,0.625706,0.562844,0.592167,0.625706,False,
Arabic,XTTS-v2,outputs/xtts/arabic/parameter_tests/ar_greeting_config_C.wav,success,,0.639979,0.641144,0.591361,0.624161,0.641144,False,
Arabic,XTTS-v2,outputs/xtts/arabic/parameter_tests/ar_greeting_config_D.wav,success,,0.610498,0.645395,0.589334,0.615076,0.645395,False,
Arabic,XTTS-v2,outputs/xtts/arabic/reference_tests/ar_greeting_long.wav,success,,0.534922,0.477138,0.637378,0.549813,0.637378,False,
Arabic,XTTS-v2,outputs/xtts/arabic/reference_tests/ar_greeting_multi.wav,success,,0.587951,0.625706,0.562844,0.592167,0.625706,False,
Arabic,XTTS-v2,outputs/xtts/arabic/reference_tests/ar_greeting_short.wav,success,,0.573588,0.538416,0.460154,0.524053,0.573588,False,
