test_id,expected_text,ASR_text,WER,WER_percent,generation_time,audio_duration,RTF,peak,clipping,clipping_samples,silence_ratio,language,model,output_path
en_clone_01_greeting,Hello and welcome. I am your voice assistant today.,Hello and welcome. I am your voice assistant today,0.0,0.0,2.2170287999906577,3.712,0.5972599137905866,0.781707763671875,False,0,0.2734038254310345,english,MMS-TTS,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\mms\english\final\en_clone_01_greeting.wav
en_clone_02_technology,Artificial intelligence helps teams answer customers faster and more clearly.,Artificial intelligence helps. Teams answer customers faster and more clearly.,0.0,0.0,2.3904058000043733,5.584,0.4280812679090927,0.946746826171875,False,0,0.14970227435530087,english,MMS-TTS,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\mms\english\final\en_clone_02_technology.wav
en_clone_03_conversational,"Sure, I can help with that. Please tell me what you need.","Sure, I can help with that. Please tell me what you need.",0.0,0.0,1.5266222999925958,3.36,0.4543518749977964,0.906158447265625,False,0,0.18091517857142858,english,MMS-TTS,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\mms\english\final\en_clone_03_conversational.wav
en_clone_04_numbers,"Your confirmation number is two zero six five, and the meeting starts at three thirty.",Your confirmation number is 2065 and the meeting starts at 330,0.4,40.0,2.1903771000070265,5.744,0.3813330605861815,0.93609619140625,False,0,0.14643541086350975,english,MMS-TTS,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\mms\english\final\en_clone_04_numbers.wav
en_clone_05_expressive,That is wonderful news. I am really glad everything worked out.,That is wonderful news. I am really glad everything worked out.,0.0,0.0,1.914463599998271,4.656,0.4111820446731682,0.847198486328125,False,0,0.11830165378006872,english,MMS-TTS,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\mms\english\final\en_clone_05_expressive.wav
air_01_greeting,"Hello, welcome to Infinia. I am ready to help you today.",Hello welcome to Incident EO. I am ready to help you today.,0.18181818181818182,18.181818181818183,86.0421411999996,4.26,20.19768572769944,0.59368896484375,False,0,0.037050078247261344,english,NeuTTS,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\neutts\english\final\air_01_greeting.wav
air_02_identity,"My name is Ratan Jyoti, and I enjoy building practical artificial intelligence systems.",My name is Ratan Gyoti and I enjoy building practical artificial intelligence systems.,0.07692307692307693,7.6923076923076925,105.63083729999926,5.68,18.596978397887195,0.48681640625,False,0,0.03791079812206573,english,NeuTTS,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\neutts\english\final\air_02_identity.wav
air_03_support,Thank you for contacting customer support. I have reviewed your request and will guide you through the next steps.,Thank you for contacting customer support. I have reviewed your request and will guide you through the next steps.,0.0,0.0,112.10602980000112,6.46,17.353874582043517,0.821258544921875,False,0,0.04698787409700722,english,NeuTTS,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\neutts\english\final\air_03_support.wav
air_04_numbers,"Your order number is five eight two four, and it will arrive on July twenty-first.",Your order number is 5824 and it will arrive on July 21st.,0.375,37.5,53.811776100003044,6.22,8.651410948553544,0.67510986328125,False,0,0.04670418006430868,english,NeuTTS,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\neutts\english\final\air_04_numbers.wav
air_05_expressive,"That is wonderful news! Everything worked correctly, and I hope you have a great day.","that is wonderful news, everything worked correctly and I hope you have a great day.",0.0,0.0,52.80468509999628,6.04,8.742497533111967,0.75274658203125,False,0,0.03825883002207506,english,NeuTTS,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\neutts\english\final\air_05_expressive.wav
hi_clone_01_greeting,"नमस्ते, आपका स्वागत है। मैं आज आपकी आवाज़ सहायक हूँ।","नमस्ते आख का स्वाखत है, मैं आज आप की अवाज सहाएक हूँ",0.7,70.0,2.3064508000097703,4.64,0.49707991379520916,0.837890625,False,0,0.19925915948275863,hindi,MMS-TTS,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\mms\hindi\final\hi_clone_01_greeting.wav
hi_clone_02_technology,कृत्रिम बुद्धिमत्ता ग्राहकों को तेज़ और स्पष्ट उत्तर देने में मदद करती है।,खिरित्रीं भुदीमत्ता गहाकों को तेज और स्पाष्ट कुतर देने में माडद करती है,0.38461538461538464,38.46153846153847,2.1651179999898886,5.312,0.40758998493785553,0.900054931640625,False,0,0.27095491340361444,hindi,MMS-TTS,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\mms\hindi\final\hi_clone_02_technology.wav
hi_clone_03_conversational,"ज़रूर, मैं इसमें मदद कर सकता हूँ। कृपया अपनी ज़रूरत बताइए।","जरूर मैं इस में मदद कर सक्ता हूँ, क्रपया अपनी जरूनत बताये",0.45454545454545453,45.45454545454545,2.2029793999972753,5.12,0.43026941406196784,0.93145751953125,False,0,0.274365234375,hindi,MMS-TTS,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\mms\hindi\final\hi_clone_03_conversational.wav
hi_clone_04_numbers,"आपका पुष्टिकरण नंबर दो शून्य छह पांच है, और बैठक साढ़े तीन बजे शुरू होगी।","अपका पुष्टी करन नान्वबद दो शुने चा पाज है, और बैक यक साए तीन बजे शुरू होगी.",0.6666666666666666,66.66666666666666,2.4772240999882342,6.336,0.3909760258819814,0.9442138671875,False,0,0.2870797821969697,hindi,MMS-TTS,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\mms\hindi\final\hi_clone_04_numbers.wav
hi_clone_05_expressive,यह बहुत अच्छी खबर है। मुझे खुशी है कि सब ठीक रहा।,"ये बहुत अची खवर है, मुझे खुशी है कि सब थी का",0.4166666666666667,41.66666666666667,1.7712317999976221,4.624,0.3830518598610775,0.9034423828125,False,0,0.33688365051903113,hindi,MMS-TTS,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\mms\hindi\final\hi_clone_05_expressive.wav
hi_clone_01_greeting,"नमस्ते, आपका स्वागत है। मैं आज आपकी आवाज़ सहायक हूँ।","नमस्ते, आपका स्वागत है, मैं आज आपकी अवास सहाया कूँ",0.3,30.0,178.03517309999734,6.16,28.90181381493463,1.0,True,27,0.19922213203463204,hindi,Chatterbox,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\chatterbox\hindi\final\hi_clone_01_greeting.wav
hi_clone_02_technology,कृत्रिम बुद्धिमत्ता ग्राहकों को तेज़ और स्पष्ट उत्तर देने में मदद करती है।,क्रित्रिन बुद्दी मत्ता ग्राहको को तेज और स्पष्ट उत्टर देने में मदध करती है,0.38461538461538464,38.46153846153847,59.241187299994635,6.36,9.314652091194125,0.9642333984375,False,0,0.09024502096436059,hindi,Chatterbox,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\chatterbox\hindi\final\hi_clone_02_technology.wav
hi_clone_03_conversational,"ज़रूर, मैं इसमें मदद कर सकता हूँ। कृपया अपनी ज़रूरत बताइए।",मैं इस में मदद कर सकता हूं क्रिपिया अपनी ज़रूरत बताएए,0.45454545454545453,45.45454545454545,46.098830000002636,4.64,9.935092672414362,0.852203369140625,False,0,0.08079202586206896,hindi,Chatterbox,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\chatterbox\hindi\final\hi_clone_03_conversational.wav
hi_clone_04_numbers,"आपका पुष्टिकरण नंबर दो शून्य छह पांच है, और बैठक साढ़े तीन बजे शुरू होगी।",अपका पुष्टिकरर नमबर दो शूँन्या चै पाई चै और वेट्ख सार्डे तीन बजी शुरू होगी,0.5333333333333333,53.333333333333336,215.87337679999473,5.56,38.82614690647387,0.999969482421875,True,3,0.11761840527577938,hindi,Chatterbox,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\chatterbox\hindi\final\hi_clone_04_numbers.wav
hi_clone_05_expressive,यह बहुत अच्छी खबर है। मुझे खुशी है कि सब ठीक रहा।,"यहाँ बहुत अच्छी कबर है, मुझे खुशी है कि सब छीक रहा.",0.16666666666666666,16.666666666666664,45.32962599999155,5.6,8.094576071427063,0.803466796875,False,0,0.110625,hindi,Chatterbox,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\chatterbox\hindi\final\hi_clone_05_expressive.wav
