language,model,test_id,expected_text,ASR_text,WER_percent,generation_time,audio_duration,RTF,peak,clipping,clipping_samples,speaker_similarity,manual_naturalness,manual_pronunciation,status,output_path,notes
English,MMS-TTS,en_clone_01_greeting,Hello and welcome. I am your voice assistant today.,Hello and welcome. I am your voice assistant today,0,2.217,3.712,0.597,0.782,False,0,,,,completed,outputs\mms\english\final\en_clone_01_greeting.wav,"source=results\mms_english_evaluation.csv; fixed-speaker baseline, not voice cloning; speaker similarity not applicable; manual MOS pending"
English,MMS-TTS,en_clone_02_technology,Artificial intelligence helps teams answer customers faster and more clearly.,Artificial intelligence helps. Teams answer customers faster and more clearly.,0,2.39,5.584,0.428,0.947,False,0,,,,completed,outputs\mms\english\final\en_clone_02_technology.wav,"source=results\mms_english_evaluation.csv; fixed-speaker baseline, not voice cloning; speaker similarity not applicable; manual MOS pending"
English,MMS-TTS,en_clone_03_conversational,"Sure, I can help with that. Please tell me what you need.","Sure, I can help with that. Please tell me what you need.",0,1.527,3.36,0.454,0.906,False,0,,,,completed,outputs\mms\english\final\en_clone_03_conversational.wav,"source=results\mms_english_evaluation.csv; fixed-speaker baseline, not voice cloning; speaker similarity not applicable; manual MOS pending"
English,MMS-TTS,en_clone_04_numbers,"Your confirmation number is two zero six five, and the meeting starts at three thirty.",Your confirmation number is 2065 and the meeting starts at 330,40,2.19,5.744,0.381,0.936,False,0,,,,completed,outputs\mms\english\final\en_clone_04_numbers.wav,"source=results\mms_english_evaluation.csv; fixed-speaker baseline, not voice cloning; speaker similarity not applicable; manual MOS pending"
English,MMS-TTS,en_clone_05_expressive,That is wonderful news. I am really glad everything worked out.,That is wonderful news. I am really glad everything worked out.,0,1.914,4.656,0.411,0.847,False,0,,,,completed,outputs\mms\english\final\en_clone_05_expressive.wav,"source=results\mms_english_evaluation.csv; fixed-speaker baseline, not voice cloning; speaker similarity not applicable; manual MOS pending"
English,NeuTTS,air_01_greeting,"Hello, welcome to Infinia. I am ready to help you today.",Hello welcome to Incident EO. I am ready to help you today.,18.182,86.042,4.26,20.198,0.594,False,0,0.542,,,completed,outputs\neutts\english\final\air_01_greeting.wav,source=results\neutts_english_evaluation.csv; manual MOS pending
English,NeuTTS,air_02_identity,"My name is Ratan Jyoti, and I enjoy building practical artificial intelligence systems.",My name is Ratan Gyoti and I enjoy building practical artificial intelligence systems.,7.692,105.631,5.68,18.597,0.487,False,0,0.542,,,completed,outputs\neutts\english\final\air_02_identity.wav,source=results\neutts_english_evaluation.csv; manual MOS pending
English,NeuTTS,air_03_support,Thank you for contacting customer support. I have reviewed your request and will guide you through the next steps.,Thank you for contacting customer support. I have reviewed your request and will guide you through the next steps.,0,112.106,6.46,17.354,0.821,False,0,0.542,,,completed,outputs\neutts\english\final\air_03_support.wav,source=results\neutts_english_evaluation.csv; manual MOS pending
English,NeuTTS,air_04_numbers,"Your order number is five eight two four, and it will arrive on July twenty-first.",Your order number is 5824 and it will arrive on July 21st.,37.5,53.812,6.22,8.651,0.675,False,0,0.542,,,completed,outputs\neutts\english\final\air_04_numbers.wav,source=results\neutts_english_evaluation.csv; manual MOS pending
English,NeuTTS,air_05_expressive,"That is wonderful news! Everything worked correctly, and I hope you have a great day.","that is wonderful news, everything worked correctly and I hope you have a great day.",0,52.805,6.04,8.742,0.753,False,0,0.542,,,completed,outputs\neutts\english\final\air_05_expressive.wav,source=results\neutts_english_evaluation.csv; manual MOS pending
