language,model_id,sentence_id,run_number,input_text,output_file,asr_transcript,normalized_reference,normalized_transcript,wer,cer,success,error_message
arabic,facebook/mms-tts-ara,ar_01,1,مرحباً بكم في إنفينيا، كيف يمكنني مساعدتكم اليوم؟,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\mms\arabic\ar_01_run_01.wav,ما حباً بكم في انفينية كيف يوم كنون مصعدة كم اليومين,مرحبا بكم في إنفينيا، كيف يمكنني مساعدتكم اليوم؟,ما حبا بكم في انفينية كيف يوم كنون مصعدة كم اليومين,1.0,0.3125,True,
arabic,facebook/mms-tts-ara,ar_01,2,مرحباً بكم في إنفينيا، كيف يمكنني مساعدتكم اليوم؟,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\mms\arabic\ar_01_run_02.wav,ما حباً بكم في انفينية كيف يمكنني مساعدةكم اليومي,مرحبا بكم في إنفينيا، كيف يمكنني مساعدتكم اليوم؟,ما حبا بكم في انفينية كيف يمكنني مساعدةكم اليومي,0.625,0.1458,True,
arabic,facebook/mms-tts-ara,ar_01,3,مرحباً بكم في إنفينيا، كيف يمكنني مساعدتكم اليوم؟,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\mms\arabic\ar_01_run_03.wav,ما حباً بكم في انفينية كيف يمكنني مصعدةكم اليومين,مرحبا بكم في إنفينيا، كيف يمكنني مساعدتكم اليوم؟,ما حبا بكم في انفينية كيف يمكنني مصعدةكم اليومين,0.625,0.2083,True,
arabic,facebook/mms-tts-ara,ar_02,1,تم تأكيد موعدك صباح الغد.,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\mms\arabic\ar_02_run_01.wav,كم تأكيد موري دك السباح الغان,تم تأكيد موعدك صباح الغد,كم تأكيد موري دك السباح الغان,1.0,0.375,True,
arabic,facebook/mms-tts-ara,ar_02,2,تم تأكيد موعدك صباح الغد.,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\mms\arabic\ar_02_run_02.wav,ام تأكيد موري دك الصباح الغان,تم تأكيد موعدك صباح الغد,ام تأكيد موري دك الصباح الغان,1.0,0.3333,True,
arabic,facebook/mms-tts-ara,ar_02,3,تم تأكيد موعدك صباح الغد.,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\mms\arabic\ar_02_run_03.wav,تم تأكيد موري دك الصباح الغان,تم تأكيد موعدك صباح الغد,تم تأكيد موري دك الصباح الغان,0.8,0.2917,True,
arabic,facebook/mms-tts-ara,ar_03,1,قدّم راتان جيوتي دراسة هندسة الصوت.,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\mms\arabic\ar_03_run_01.wav,قدرة نجيوتي دراسة تحون دسة تصوط,قدم راتان جيوتي دراسة هندسة الصوت,قدرة نجيوتي دراسة تحون دسة تصوط,1.0,0.3939,True,
arabic,facebook/mms-tts-ara,ar_03,2,قدّم راتان جيوتي دراسة هندسة الصوت.,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\mms\arabic\ar_03_run_02.wav,خدرتاً وجيوتي دراسة هندسة الساو,قدم راتان جيوتي دراسة هندسة الصوت,خدرتا وجيوتي دراسة هندسة الساو,0.6667,0.2727,True,
arabic,facebook/mms-tts-ara,ar_03,3,قدّم راتان جيوتي دراسة هندسة الصوت.,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\mms\arabic\ar_03_run_03.wav,خدارة نجيوتي دراسة هندسة السوء,قدم راتان جيوتي دراسة هندسة الصوت,خدارة نجيوتي دراسة هندسة السوء,0.6667,0.2727,True,
arabic,facebook/mms-tts-ara,ar_04,1,تم استلام دفعتك بقيمة ألفين وأربعمائة وخمسين روبية.,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\mms\arabic\ar_04_run_01.wav,تمستلامي لفعتك بقيمةً الفين وأربع ما اتن وخمسين ربياً لله.,تم استلام دفعتك بقيمة ألفين وأربعمائة وخمسين روبية,تمستلامي لفعتك بقيمة الفين وأربع ما اتن وخمسين ربيا لله,1.125,0.32,True,
