created_at,model,language,profile,test_id,text,device,status,model_load_seconds,generation_seconds,output_duration_seconds,rtf,sample_rate,channels,peak,rms,output_path,error,similarity_score,naturalness_score,pronunciation_score,metallic_level,missing_words,repeated_words,listening_notes,accepted,,,,,,,,,,
2026-07-16T23:44:55,ResembleAI/chatterbox multilingual,hi,neutral,neutral_01_identity,"नमस्ते, मेरा नाम रतन ज्योति है। यह मेरी हिंदी आवाज़ के क्लोन का परीक्षण है।",cpu,success,36.467948,203.5760752,6.12,33.26406458,24000,1,0.975506425,0.130387853,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\chatterbox\hindi\neutral\neutral_01_identity.wav,,4,3,5,Mild,NO,NO,Natural voice and correct pronunciation; mild metallic VOICE.,NO,,,,,,,,,,
2026-07-16T23:48:19,ResembleAI/chatterbox multilingual,hi,neutral,neutral_02_technology,कृत्रिम बुद्धिमत्ता हमारे काम करने के तरीके को तेज़ी से बदल रही है।,cpu,success,36.467948,138.3460439,5.2,26.60500844,24000,1,0.804055929,0.098182191,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\chatterbox\hindi\neutral\neutral_02_technology.wav,,5,5,5,none,no,no,Voice is close to reference,yes,,,,,,,,,,
2026-07-16T23:53:32,ResembleAI/chatterbox multilingual,hi,neutral,neutral_01_identity,"नमस्ते, मेरा नाम रतन ज्योति है। यह मेरी हिंदी आवाज़ के क्लोन का परीक्षण है।",cpu,success,37.0773042,143.3151749,5.2,27.56061056,24000,1,0.999969482,0.13945601,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\chatterbox\hindi\neutral\neutral_01_identity.wav,,,,,,,,,,,,,,,,,,,
2026-07-16T23:55:56,ResembleAI/chatterbox multilingual,hi,neutral,neutral_02_technology,कृत्रिम बुद्धिमत्ता हमारे काम करने के तरीके को तेज़ी से बदल रही है।,cpu,success,37.0773042,151.5621649,5.76,26.31287585,24000,1,0.896759033,0.091354108,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\chatterbox\hindi\neutral\neutral_02_technology.wav,,,,,,,,,,,,,,,,,,,
2026-07-17T09:59:31,ResembleAI/chatterbox multilingual,hi,conversational,conversational_01_assistance,"नमस्ते, मैं आपकी किस प्रकार सहायता कर सकता हूँ? कृपया अपनी समस्या विस्तार से बताइए।",cpu,success,28.3862191,71.5276726,7.24,9.87951279,24000,1,0.999969482,0.100946102,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\chatterbox\hindi\conversational\conversational_01_assistance.wav,,,,,,,,,,,,,,,,,,,
2026-07-17T10:00:43,ResembleAI/chatterbox multilingual,hi,conversational,conversational_02_support,मैंने आपकी जानकारी देख ली है। अब मैं आपको अगले चरण के बारे में बताता हूँ।,cpu,success,28.3862191,50.4457847,5.16,9.776314864,24000,1,0.999969482,0.125304828,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\chatterbox\hindi\conversational\conversational_02_support.wav,,,,,,,,,,,,,,,,,,,
2026-07-17T10:03:31,ResembleAI/chatterbox multilingual,hi,conversational,conversational_01_assistance,"नमस्ते, मैं आपकी किस प्रकार सहायता कर सकता हूँ? कृपया अपनी समस्या विस्तार से बताइए।",cpu,success,24.3336373,64.4645872,6.28,10.26506166,24000,1,0.902130127,0.095010707,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\chatterbox\hindi\conversational\conversational_01_assistance.wav,,,,,,,,,,,,,,,,,,,
2026-07-17T10:04:36,ResembleAI/chatterbox multilingual,hi,conversational,conversational_02_support,मैंने आपकी जानकारी देख ली है। अब मैं आपको अगले चरण के बारे में बताता हूँ।,cpu,success,24.3336373,58.0864485,4.96,11.71097752,24000,1,1,0.111307695,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\chatterbox\hindi\conversational\conversational_02_support.wav,,,,,,,,,,,,,,,,,,,
2026-07-17T10:05:34,ResembleAI/chatterbox multilingual,hi,conversational,conversational_03_schedule,"जी हाँ, मैं आज शाम तक आपका काम पूरा करने की कोशिश करूँगा।",cpu,success,24.3336373,60.7944352,4.76,12.77194017,24000,1,1,0.127919775,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\chatterbox\hindi\conversational\conversational_03_schedule.wav,,,,,,,,,,,,,,,,,,,
2026-07-17T10:06:35,ResembleAI/chatterbox multilingual,hi,conversational,conversational_04_clarify,"ठीक है, पहले हम आपकी ज़रूरत समझ लेते हैं, फिर सही समाधान चुनते हैं।",cpu,success,24.3336373,63.8525874,6.8,9.390086382,24000,1,0.746398926,0.084675474,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\chatterbox\hindi\conversational\conversational_04_clarify.wav,,,,,,,,,,,,,,,,,,,
